Date, Open , High , Low , Close ,Adj Close,Volume
6/6/2011,6.02,6.03,5.65,5.74,5.74,11655500.00
6/7/2011,5.79,5.88,5.65,5.67,5.67,6110500.00
6/8/2011,5.69,5.72,5.40,5.42,5.42,8479500.00
6/9/2011,5.49,5.62,5.42,5.52,5.52,8016000.00
6/10/2011,5.50,5.66,5.47,5.57,5.57,7833000.00
6/13/2011,5.61,5.78,5.58,5.69,5.69,8567000.00
6/14/2011,5.71,5.94,5.70,5.72,5.72,7867000.00
6/15/2011,5.69,5.69,5.41,5.46,5.46,6725000.00
6/16/2011,5.53,5.60,5.15,5.30,5.30,9211000.00
6/17/2011,5.37,5.54,5.23,5.30,5.30,8570000.00
6/20/2011,5.26,5.29,5.10,5.20,5.20,7689000.00
6/21/2011,5.25,5.55,5.20,5.51,5.51,7480000.00
6/22/2011,5.47,5.65,5.42,5.44,5.44,7378000.00
6/23/2011,5.44,5.54,5.24,5.54,5.54,5850000.00
6/24/2011,5.53,5.59,5.45,5.51,5.51,18042500.00
6/27/2011,5.55,5.66,5.46,5.49,5.49,9047000.00
6/28/2011,5.56,5.65,5.53,5.62,5.62,4446000.00
6/29/2011,5.70,5.82,5.61,5.66,5.66,7309000.00
6/30/2011,5.70,5.87,5.68,5.83,5.83,4733500.00
7/1/2011,5.81,5.92,5.76,5.80,5.80,4274500.00
7/5/2011,5.80,5.90,5.74,5.83,5.83,4980000.00
7/6/2011,5.83,5.83,5.71,5.79,5.79,4634500.00
7/7/2011,5.83,6.00,5.80,5.95,5.95,6639500.00
7/8/2011,5.98,5.98,5.72,5.76,5.76,6203000.00
7/11/2011,5.68,5.71,5.60,5.67,5.67,4879000.00
7/12/2011,5.67,5.82,5.60,5.63,5.63,5227000.00
7/13/2011,5.69,5.81,5.58,5.73,5.73,5330000.00
7/14/2011,5.71,5.79,5.45,5.52,5.52,5795000.00
7/15/2011,5.56,5.57,5.48,5.52,5.52,3545000.00
7/18/2011,5.47,5.49,5.33,5.45,5.45,4259500.00
7/19/2011,5.52,5.62,5.51,5.58,5.58,5130500.00
7/20/2011,5.60,6.09,5.56,5.74,5.74,15241500.00
7/21/2011,5.78,5.83,5.62,5.74,5.74,5057500.00
7/22/2011,5.74,5.91,5.71,5.86,5.86,2917500.00
7/25/2011,5.80,5.85,5.69,5.70,5.70,3366500.00
7/26/2011,5.66,5.75,5.59,5.60,5.60,3803000.00
7/27/2011,5.70,5.70,5.50,5.53,5.53,4792500.00
7/28/2011,5.52,5.71,5.51,5.63,5.63,4693500.00
7/29/2011,5.56,5.68,5.50,5.63,5.63,4741000.00
8/1/2011,5.73,5.80,5.64,5.75,5.75,5824500.00
8/2/2011,5.74,5.84,5.45,5.47,5.47,7747000.00
8/3/2011,5.50,5.57,5.27,5.44,5.44,8972500.00
8/4/2011,5.30,5.38,4.93,4.95,4.95,15322500.00
8/5/2011,5.00,5.08,4.57,4.85,4.85,9822000.00
8/8/2011,4.62,4.89,4.62,4.73,4.73,13042500.00
8/9/2011,4.83,5.09,4.74,5.01,5.01,6667000.00
8/10/2011,5.09,5.09,4.73,4.76,4.76,7821000.00
8/11/2011,4.81,5.15,4.80,5.06,5.06,4182500.00
8/12/2011,5.12,5.43,5.07,5.26,5.26,5045500.00
8/15/2011,5.32,5.35,5.19,5.25,5.25,3693000.00
8/16/2011,5.23,5.31,5.17,5.22,5.22,2688500.00
8/17/2011,5.28,5.33,5.10,5.17,5.17,3218500.00
8/18/2011,5.00,5.03,4.69,4.85,4.85,5283000.00
8/19/2011,4.77,4.84,4.40,4.46,4.46,6876500.00
8/22/2011,4.62,4.76,4.34,4.39,4.39,4930500.00
8/23/2011,4.39,4.62,4.30,4.59,4.59,4345000.00
8/24/2011,4.62,4.79,4.57,4.77,4.77,3421500.00
8/25/2011,4.77,4.77,4.58,4.62,4.62,3399000.00
8/26/2011,4.54,4.79,4.41,4.75,4.75,3809000.00
8/29/2011,4.84,4.97,4.80,4.94,4.94,4017000.00
8/30/2011,4.90,4.95,4.82,4.93,4.93,1831000.00
8/31/2011,4.96,5.10,4.86,4.95,4.95,4119000.00
9/1/2011,4.93,4.97,4.77,4.80,4.80,4240500.00
9/2/2011,4.73,4.80,4.54,4.61,4.61,3849500.00
9/6/2011,4.50,4.64,4.46,4.59,4.59,4049000.00
9/7/2011,4.68,4.80,4.66,4.77,4.77,2296000.00
